"data","volumeOperacional","pluviometria","temperaturaMedia","diferenca","medMov.pluviometria","medMov.diferenca","medMov.temperatura","predito","volumeOperacionalPredito"
"2000-01-17",448.00871,4.05,27,-0.196559999999976,9.52166666666667,5.15748333333333,25.1333333333333,3.83403836472222,NA
"2000-01-18",448.24847,4.575,28,0.239759999999989,7.48166666666667,4.74977333333333,25.6,3.02971633666666,NA
"2000-01-19",448.96683,4.525,24,0.718360000000018,6.535,4.07231799999999,25.7333333333333,2.74610278138888,NA
"2000-01-20",448.28411,4.9,24,-0.682720000000017,5.135,3.01877333333333,25.8666666666667,1.96488344583333,NA
"2000-01-21",445.98042,0,24,-2.30369000000001,4.61333333333333,2.72782799999999,25.8666666666667,1.95579450805555,NA
"2000-01-22",444.64889,0,26,-1.33152999999998,3.18333333333333,0.854108666666665,26.0666666666667,0.311449800277777,NA
"2000-01-23",443.41804,0,26,-1.23084999999997,2.77,0.270342666666666,26.2,-0.153252201944444,NA
"2000-01-24",442.52101,0,25,-0.897030000000029,2.77,-0.0331219999999992,26.2,-0.153252201944444,NA
"2000-01-25",441.54838,0,27,-0.972629999999981,2.745,-0.197942666666665,26.1333333333333,-1.27199864944444,NA
"2000-01-26",440.49169,9.175,22,-1.05669,3.35666666666667,-0.350165999999997,25.8,-0.398691585555553,NA
"2000-01-27",441.64786,17.775,21,1.15616999999997,4.485,-0.238871999999999,25.4666666666667,0.271904298055555,NA
"2000-01-28",442.97388,0,21,1.32602000000002,4,-0.189508,25.0666666666667,-0.195071423888887,NA
"2000-01-29",442.60821,0,21,-0.365670000000022,3.14333333333333,-0.324574666666668,24.6,-0.210920561111111,NA
"2000-01-30",441.69963,0,24,-0.908579999999972,3.09666666666667,-0.434311999999999,24.4,-0.143237657777776,NA
"2000-01-31",441.19446,0,25,-0.505170000000021,3,-0.467387333333332,24.3333333333333,-0.45983131361111,NA
"2000-02-01",441.74711,27.45,24,0.552650000000028,4.56,-0.417439999999999,24.1333333333333,1.44343906138889,NA
"2000-02-02",445.41573,6.625,26,3.66861999999997,4.69666666666667,-0.188849333333333,24,1.50070374277778,NA
"2000-02-03",445.27627,0,27,-0.139459999999985,4.395,-0.246037333333333,24.2,0.118815740277777,NA
"2000-02-04",446.65683,0,26,1.38056,4.06833333333333,-0.108485333333332,24.3333333333333,-0.151893462777777,NA
"2000-02-05",448.24685,23.275,24,1.59001999999998,5.62,0.151095333333334,24.3333333333333,2.15925974083333,NA
"2000-02-06",448.25999,0.15,23,0.0131400000000212,5.63,0.240740000000001,24.1333333333333,1.16609640583333,NA
"2000-02-07",447.83977,0,22,-0.420220000000028,5.63,0.294781999999997,23.8666666666667,0.151509634166666,NA
"2000-02-08",447.27314,0.25,23,-0.566629999999975,5.64666666666667,0.316808666666668,23.7333333333333,0.734155941111108,NA
"2000-02-09",446.76344,4.65,25,-0.509700000000009,5.95666666666667,0.347670666666666,23.6,0.574057748333332,NA
"2000-02-10",448.31842,22.575,23,1.55498,6.85,0.521781999999999,23.6666666666667,1.08457608527778,NA
"2000-02-11",453.2438,28.425,23,4.92538000000001,7.56,0.773062666666669,23.8,1.65135936166667,NA
"2000-02-12",460.41681,28.7,23,7.17300999999997,9.47333333333333,1.16286199999999,23.9333333333333,1.45329819444444,NA
"2000-02-13",469.2103,17.525,22,8.79349000000002,10.6416666666667,1.77347266666666,24,2.72374099083333,NA
"2000-02-14",479.0184,11.625,26,9.80809999999996,11.4166666666667,2.48791799999999,24.1333333333333,2.55290125444444,NA
"2000-02-15",483.414,0.375,28,4.3956,11.4416666666667,2.81463599999999,24.3333333333333,2.72288746833333,NA
"2000-02-16",486.42832,6.525,23,3.01431999999999,10.0466666666667,2.97874733333333,24.2666666666667,3.37144904083333,NA
"2000-02-17",488.00649,17.25,19,1.57817,10.755,2.83938399999999,23.8,3.54513888249999,NA
"2000-02-18",495.63865,17.425,21,7.63215999999999,11.9166666666667,3.35749199999999,23.4,4.0878020136111,NA
"2000-02-19",499.82036,0.3,22,4.18171000000001,11.9366666666667,3.54423533333333,23.1333333333333,4.63826807138888,NA
"2000-02-20",500.10712,0,23,0.286760000000015,10.385,3.45735133333333,23.0666666666667,3.31895640166666,NA
"2000-02-21",501.5441,0,26,1.43698,10.375,3.55227399999999,23.2666666666667,3.27686688,NA
"2000-02-22",502.13882,0,26,0.594719999999995,10.375,3.61993666666666,23.5333333333333,4.43585559555555,NA
"2000-02-23",502.66928,1.375,26,0.530460000000005,10.45,3.693076,23.7333333333333,4.18624333305555,NA
"2000-02-24",502.8683,4.85,26,0.199019999999961,10.4633333333333,3.74032399999999,23.8,3.32254657638888,NA
"2000-02-25",503.92367,4.925,26,1.05537000000003,9.28666666666667,3.70701666666666,24,2.95320541833333,NA
"2000-02-26",504.18362,5.7,26,0.259950000000003,7.77166666666667,3.395988,24.2,2.82871959611111,NA
"2000-02-27",504.4611,0,27,0.277479999999968,5.85833333333333,2.93628599999999,24.4666666666667,2.31147393027777,NA
"2000-02-28",504.82733,2.8,29,0.36623000000003,4.87666666666667,2.37446866666666,24.9333333333333,1.55984686,NA
"2000-02-29",505.79574,5.1,26,0.968410000000005,4.44166666666667,1.785156,24.9333333333333,1.19446113722222,NA
"2000-03-01",506.38101,10.625,27,0.58526999999998,5.125,1.531134,24.8666666666667,0.803606052777776,NA
"2000-03-02",506.64932,4.7,26,0.268309999999985,5.00333333333333,1.34806666666666,25.0666666666667,0.916054955833329,NA
"2000-03-03",507.64408,0.125,26,0.994759999999985,3.86166666666667,1.30917266666666,25.5333333333333,0.665894702222219,NA
